Degree of Decomposition,,,,,Nature of Squeezed Liquid,,,,Properties of Organic Mater Extruded,,,,,Nature of Plant Matter,,,,,Description,,,,
1,,,,,"Clear, colourless",,,,None,,,,,Plant structure unaltered,,,,,Undecomposed,,,,
2,,,,,"Almost clear, yellow-brown",,,,None,,,,,"Plant structure distinct, almost unaltered",,,,,Almost undecomposed,,,,
3,,,,,"Slightly turbid, brown",,,,None,,,,,"Plant structure distinct, most remains easily identifiable",,,,,Very weakly decomposed,,,,
4,,,,,"Strongly turbid, brown",,,,None,,,,,"Plant structure distinct, most remains identifiable",,,,,Weakly decomposed,,,,
5,,,,,"Strongly turbid, contains little organic material in suspension",,,,Very little,,,,,Plant structure clear but indistinct and difficult to identify,,,,,Moderately decomposed,,,,
6,,,,,"Muddy, much organic material in suspension",,,,One third,,,,,"Plant structure indistinct, with most undefinable",,,,,Well decomposed,,,,
7,,,,,Strongly muddy,,,,One half,,,,,Plant structure indistinct,,,,,Strongly decomposed,,,,
8,,,,,"Thick mud, little free water",,,,Two thirds,,,,,Plant structure very indistinct with only resistant material such as roots identifiable,,,,,Very strongly decomposed,,,,
9,,,,,No free water,,,,Nearly all,,,,,Plant structure almost unrecognizable,,,,,Almost completely decomposed,,,,
10,,,,,No free water,,,,All,,,,,"Plant structure not recognizable, amorphous",,,,,Completely decomposed,,,,
